ROTA,origem,destino,distancia_km,distancia_texto
FRUTAL/MG:UBERLÂNDIA/MG,FRUTAL/MG,UBERLÂNDIA/MG,185.007,185 km
MONTES CLAROS/MG:BELO HORIZONTE/MG,MONTES CLAROS/MG,BELO HORIZONTE/MG,425.261,425 km
PALHOÇA/SC:GASPAR/SC,PALHOÇA/SC,GASPAR/SC,135.624,136 km
VOTUPORANGA/SP:SÃO PAULO/SP,VOTUPORANGA/SP,SÃO PAULO/SP,521.087,521 km
GUAXUPÉ/MG:RIO DE JANEIRO/RJ,GUAXUPÉ/MG,RIO DE JANEIRO/RJ,563.523,564 km
CURITIBA/PR:SÃO PAULO/SP,CURITIBA/PR,SÃO PAULO/SP,415.685,416 km
BORDA DA MATA/MG:RIO DE JANEIRO/RJ,BORDA DA MATA/MG,RIO DE JANEIRO/RJ,406.699,407 km
BELO HORIZONTE/MG:RIBEIRÃO DAS NEVES/MG,BELO HORIZONTE/MG,RIBEIRÃO DAS NEVES/MG,33.078,"33,1 km"
JALES/SP:SÃO PAULO/SP,JALES/SP,SÃO PAULO/SP,586.178,586 km
LINS/SP:SÃO PAULO/SP,LINS/SP,SÃO PAULO/SP,432.828,433 km
BARBACENA/MG:RIO DE JANEIRO/RJ,BARBACENA/MG,RIO DE JANEIRO/RJ,276.685,277 km
BEBEDOURO/SP:SÃO PAULO/SP,BEBEDOURO/SP,SÃO PAULO/SP,384.752,385 km
SALTO/SP:SÃO PAULO/SP,SALTO/SP,SÃO PAULO/SP,103.96,104 km
BETIM/MG:SÃO JOÃO DEL REI/MG,BETIM/MG,SÃO JOÃO DEL REI/MG,212.172,212 km
TRÊS CORAÇÕES/MG:RIO DE JANEIRO/RJ,TRÊS CORAÇÕES/MG,RIO DE JANEIRO/RJ,361.825,362 km
SÃO PAULO/SP:SÃO PAULO/SP,SÃO PAULO/SP,SÃO PAULO/SP,0.0,1 m
SÃO BERNARDO DO CAMPO/SP:GOIÂNIA/GO,SÃO BERNARDO DO CAMPO/SP,GOIÂNIA/GO,924.534,925 km
PROMISSÃO/SP:SÃO PAULO/SP,PROMISSÃO/SP,SÃO PAULO/SP,455.89,456 km
RIBEIRÃO DAS NEVES/MG:BELO HORIZONTE/MG,RIBEIRÃO DAS NEVES/MG,BELO HORIZONTE/MG,38.661,"38,7 km"
IBITINGA/SP:SÃO PAULO/SP,IBITINGA/SP,SÃO PAULO/SP,348.916,349 km
POÇOS DE CALDAS/MG:BETIM/MG,POÇOS DE CALDAS/MG,BETIM/MG,418.709,419 km
UBERLÂNDIA/MG:SUZANO/SP,UBERLÂNDIA/MG,SUZANO/SP,630.424,630 km
BARBACENA/MG:IGARAPÉ/MG,BARBACENA/MG,IGARAPÉ/MG,207.648,208 km
SÃO JOSÉ/SC:SÃO PAULO/SP,SÃO JOSÉ/SC,SÃO PAULO/SP,696.654,697 km
POÇOS DE CALDAS/MG:SÃO PAULO/SP,POÇOS DE CALDAS/MG,SÃO PAULO/SP,257.929,258 km
MARIANA/MG:RIO DE JANEIRO/RJ,MARIANA/MG,RIO DE JANEIRO/RJ,412.999,413 km
VARGEM GRANDE DO SUL/SP:SÃO PAULO/SP,VARGEM GRANDE DO SUL/SP,SÃO PAULO/SP,234.452,234 km
PATROCÍNIO/MG:UBERLÂNDIA/MG,PATROCÍNIO/MG,UBERLÂNDIA/MG,150.193,150 km
LIMEIRA/SP:SÃO PAULO/SP,LIMEIRA/SP,SÃO PAULO/SP,148.215,148 km
IGARAPÉ/MG:NOVA SERRANA/MG,IGARAPÉ/MG,NOVA SERRANA/MG,107.688,108 km
SÃO PAULO/SP:POUSO ALEGRE/MG,SÃO PAULO/SP,POUSO ALEGRE/MG,213.155,213 km
SARZEDO/MG:CAÇAPAVA/SP,SARZEDO/MG,CAÇAPAVA/SP,510.18,510 km
VINHEDO/SP:SÃO PAULO/SP,VINHEDO/SP,SÃO PAULO/SP,78.81,"78,8 km"
IÇARA/SC:SÃO PAULO/SP,IÇARA/SC,SÃO PAULO/SP,875.092,875 km
BARRETOS/SP:SÃO PAULO/SP,BARRETOS/SP,SÃO PAULO/SP,423.49,423 km
CAMPESTRE/MG:RIO DE JANEIRO/RJ,CAMPESTRE/MG,RIO DE JANEIRO/RJ,499.513,500 km
CURVELO/MG:BETIM/MG,CURVELO/MG,BETIM/MG,168.637,169 km
UBERLÂNDIA/MG:UBERLÂNDIA/MG,UBERLÂNDIA/MG,UBERLÂNDIA/MG,0.0,1 m
MATEUS LEME/MG:CAÇAPAVA/SP,MATEUS LEME/MG,CAÇAPAVA/SP,509.434,509 km
ITATIBA/SP:SÃO PAULO/SP,ITATIBA/SP,SÃO PAULO/SP,84.052,"84,1 km"
REGENTE FEIJÓ/SP:SÃO PAULO/SP,REGENTE FEIJÓ/SP,SÃO PAULO/SP,545.945,546 km
