ROTA,origem,destino,distancia_km,distancia_texto
OURO PRETO/MG:CAÇAPAVA/SP,OURO PRETO/MG,CAÇAPAVA/SP,513.094,513 km
VÁRZEA GRANDE/MT:CAMPINAS/SP,VÁRZEA GRANDE/MT,CAMPINAS/SP,1448.558,1.449 km
LOANDA/PR:SÃO PAULO/SP,LOANDA/PR,SÃO PAULO/SP,819.516,820 km
TIMÓTEO/MG:RIO DE JANEIRO/RJ,TIMÓTEO/MG,RIO DE JANEIRO/RJ,547.082,547 km
VISCONDE DO RIO BRANCO/MG:RIO DE JANEIRO/RJ,VISCONDE DO RIO BRANCO/MG,RIO DE JANEIRO/RJ,327.348,327 km
PIUMHI/MG:SÃO PAULO/SP,PIUMHI/MG,SÃO PAULO/SP,456.973,457 km
CONCEIÇÃO DOS OUROS/MG:BETIM/MG,CONCEIÇÃO DOS OUROS/MG,BETIM/MG,387.671,388 km
TAQUARITINGA/SP:SÃO PAULO/SP,TAQUARITINGA/SP,SÃO PAULO/SP,336.301,336 km
NOVA PONTE/MG:SUZANO/SP,NOVA PONTE/MG,SUZANO/SP,605.692,606 km
CHAPADA GAÚCHA/MG:IGARAPÉ/MG,CHAPADA GAÚCHA/MG,IGARAPÉ/MG,760.166,760 km
RIO DE JANEIRO/RJ:CÓRREGO DO BOM JESUS/MG,RIO DE JANEIRO/RJ,CÓRREGO DO BOM JESUS/MG,406.611,407 km
SÃO JOÃO DA MATA/MG:RIO DE JANEIRO/RJ,SÃO JOÃO DA MATA/MG,RIO DE JANEIRO/RJ,420.509,421 km
BELO HORIZONTE/MG:ARAPORÃ/MG,BELO HORIZONTE/MG,ARAPORÃ/MG,662.065,662 km
CAMPOS GERAIS/MG:BELO HORIZONTE/MG,CAMPOS GERAIS/MG,BELO HORIZONTE/MG,307.989,308 km
JUIZ DE FORA/MG:MESQUITA/RJ,JUIZ DE FORA/MG,MESQUITA/RJ,182.472,182 km
NEPOMUCENO/MG:BETIM/MG,NEPOMUCENO/MG,BETIM/MG,209.117,209 km
PARAOPEBA/MG:RIO DE JANEIRO/RJ,PARAOPEBA/MG,RIO DE JANEIRO/RJ,531.267,531 km
SÃO GOTARDO/MG:IGARAPÉ/MG,SÃO GOTARDO/MG,IGARAPÉ/MG,288.389,288 km
TEODORO SAMPAIO/SP:SÃO PAULO/SP,TEODORO SAMPAIO/SP,SÃO PAULO/SP,654.083,654 km
RIO DE JANEIRO/RJ:BARBACENA/MG,RIO DE JANEIRO/RJ,BARBACENA/MG,276.313,276 km
MATEUS LEME/MG:BETIM/MG,MATEUS LEME/MG,BETIM/MG,29.954,"30,0 km"
BALDIM/MG:RIO DE JANEIRO/RJ,BALDIM/MG,RIO DE JANEIRO/RJ,539.318,539 km
URUPÊS/SP:SÃO PAULO/SP,URUPÊS/SP,SÃO PAULO/SP,420.61,421 km
RIO DE JANEIRO/RJ:SABARÁ/MG,RIO DE JANEIRO/RJ,SABARÁ/MG,468.118,468 km
ITUMBIARA/GO:IGARAPÉ/MG,ITUMBIARA/GO,IGARAPÉ/MG,652.657,653 km
SÃO FRANCISCO/MG:IGARAPÉ/MG,SÃO FRANCISCO/MG,IGARAPÉ/MG,592.601,593 km
MACATUBA/SP:SÃO PAULO/SP,MACATUBA/SP,SÃO PAULO/SP,303.694,304 km
OURO PRETO/MG:RIO DE JANEIRO/RJ,OURO PRETO/MG,RIO DE JANEIRO/RJ,399.263,399 km
ARAUCÁRIA/PR:SÃO PAULO/SP,ARAUCÁRIA/PR,SÃO PAULO/SP,445.667,446 km
BOM DESPACHO/MG:RIO DE JANEIRO/RJ,BOM DESPACHO/MG,RIO DE JANEIRO/RJ,588.872,589 km
BRUMADINHO/MG:CAÇAPAVA/SP,BRUMADINHO/MG,CAÇAPAVA/SP,490.933,491 km
DIVISÓPOLIS/MG:BETIM/MG,DIVISÓPOLIS/MG,BETIM/MG,827.348,827 km
MONTE CARMELO/MG:SÃO PAULO/SP,MONTE CARMELO/MG,SÃO PAULO/SP,630.88,631 km
JANUÁRIA/MG:BETIM/MG,JANUÁRIA/MG,BETIM/MG,596.348,596 km
SANTA RITA DO SAPUCAÍ/MG:RIO DE JANEIRO/RJ,SANTA RITA DO SAPUCAÍ/MG,RIO DE JANEIRO/RJ,354.335,354 km
LEOPOLDINA/MG:SÃO PAULO/SP,LEOPOLDINA/MG,SÃO PAULO/SP,552.782,553 km
VÁRZEA DA PALMA/MG:BETIM/MG,VÁRZEA DA PALMA/MG,BETIM/MG,310.584,311 km
JEQUITINHONHA/MG:RIO DE JANEIRO/RJ,JEQUITINHONHA/MG,RIO DE JANEIRO/RJ,953.833,954 km
ANDRADAS/MG:SÃO PAULO/SP,ANDRADAS/MG,SÃO PAULO/SP,214.329,214 km
FAZENDA RIO GRANDE/PR:SÃO PAULO/SP,FAZENDA RIO GRANDE/PR,SÃO PAULO/SP,446.245,446 km
MUTUM/MG:BETIM/MG,MUTUM/MG,BETIM/MG,411.716,412 km
RIO DE JANEIRO/RJ:ALÉM PARAÍBA/MG,RIO DE JANEIRO/RJ,ALÉM PARAÍBA/MG,184.807,185 km
SÃO GONÇALO DO ABAETÉ/MG:GUARULHOS/SP,SÃO GONÇALO DO ABAETÉ/MG,GUARULHOS/SP,806.365,806 km
RIO DE JANEIRO/RJ:MANTENA/MG,RIO DE JANEIRO/RJ,MANTENA/MG,772.659,773 km
ANDRELÂNDIA/MG:IGARAPÉ/MG,ANDRELÂNDIA/MG,IGARAPÉ/MG,300.458,300 km
POÇOS DE CALDAS/MG:RIO DE JANEIRO/RJ,POÇOS DE CALDAS/MG,RIO DE JANEIRO/RJ,481.234,481 km
PERDÕES/MG:SUZANO/SP,PERDÕES/MG,SUZANO/SP,402.312,402 km
BETIM/MG:PARACATU/MG,BETIM/MG,PARACATU/MG,510.103,510 km
DIVINÓPOLIS/MG:UBERLÂNDIA/MG,DIVINÓPOLIS/MG,UBERLÂNDIA/MG,458.309,458 km
OLÍMPIA/SP:SÃO PAULO/SP,OLÍMPIA/SP,SÃO PAULO/SP,436.637,437 km
PATROCÍNIO/MG:SÃO PAULO/SP,PATROCÍNIO/MG,SÃO PAULO/SP,629.362,629 km
ARINOS/MG:BELO HORIZONTE/MG,ARINOS/MG,BELO HORIZONTE/MG,657.935,658 km
OUROESTE/SP:SÃO PAULO/SP,OUROESTE/SP,SÃO PAULO/SP,590.185,590 km
RIO DE JANEIRO/RJ:FERVEDOURO/MG,RIO DE JANEIRO/RJ,FERVEDOURO/MG,349.745,350 km
IBIÁ/MG:RIO DE JANEIRO/RJ,IBIÁ/MG,RIO DE JANEIRO/RJ,763.251,763 km
CAPIVARI/SP:SÃO PAULO/SP,CAPIVARI/SP,SÃO PAULO/SP,140.744,141 km
BETIM/MG:ITATIAIUÇU/MG,BETIM/MG,ITATIAIUÇU/MG,45.377,"45,4 km"
JORDÂNIA/MG:GUARULHOS/SP,JORDÂNIA/MG,GUARULHOS/SP,1404.504,1.405 km
FRONTEIRA/MG:RIO DE JANEIRO/RJ,FRONTEIRA/MG,RIO DE JANEIRO/RJ,896.7,897 km
POUSO ALEGRE/MG:BETIM/MG,POUSO ALEGRE/MG,BETIM/MG,365.119,365 km
SÃO PAULO/SP:SERAFINA CORRÊA/RS,SÃO PAULO/SP,SERAFINA CORRÊA/RS,996.303,996 km
BETIM/MG:PATOS DE MINAS/MG,BETIM/MG,PATOS DE MINAS/MG,365.937,366 km
CAPELINHA/MG:BETIM/MG,CAPELINHA/MG,BETIM/MG,543.692,544 km
EXTREMA/MG:GUARULHOS/SP,EXTREMA/MG,GUARULHOS/SP,94.833,"94,8 km"
BETIM/MG:BARUERI/SP,BETIM/MG,BARUERI/SP,577.031,577 km
UBERLÂNDIA/MG:DIVINÓPOLIS/MG,UBERLÂNDIA/MG,DIVINÓPOLIS/MG,456.09,456 km
SANTA CRUZ DE MINAS/MG:SÃO PAULO/SP,SANTA CRUZ DE MINAS/MG,SÃO PAULO/SP,519.119,519 km
PALMEIRA D'OESTE/SP:SÃO PAULO/SP,PALMEIRA D'OESTE/SP,SÃO PAULO/SP,617.571,618 km
VÁRZEA GRANDE/MT:UBERLÂNDIA/MG,VÁRZEA GRANDE/MT,UBERLÂNDIA/MG,1066.236,1.066 km
BOM REPOUSO/MG:RIO DE JANEIRO/RJ,BOM REPOUSO/MG,RIO DE JANEIRO/RJ,428.968,429 km
MÁRIO CAMPOS/MG:RIO DE JANEIRO/RJ,MÁRIO CAMPOS/MG,RIO DE JANEIRO/RJ,472.144,472 km
JOINVILLE/SC:FLORIANÓPOLIS/SC,JOINVILLE/SC,FLORIANÓPOLIS/SC,183.265,183 km
LARANJAL PAULISTA/SP:SÃO PAULO/SP,LARANJAL PAULISTA/SP,SÃO PAULO/SP,160.326,160 km
MURIAÉ/MG:BETIM/MG,MURIAÉ/MG,BETIM/MG,332.05,332 km
SÃO JOÃO DA PONTE/MG:BELO HORIZONTE/MG,SÃO JOÃO DA PONTE/MG,BELO HORIZONTE/MG,532.187,532 km
LAGOA DOURADA/MG:GUARULHOS/SP,LAGOA DOURADA/MG,GUARULHOS/SP,534.3,534 km
SANTANA DO PARAÍSO/MG:IGARAPÉ/MG,SANTANA DO PARAÍSO/MG,IGARAPÉ/MG,267.329,267 km
ITU/SP:RIO DE JANEIRO/RJ,ITU/SP,RIO DE JANEIRO/RJ,538.068,538 km
CAMPOS GERAIS/MG:BETIM/MG,CAMPOS GERAIS/MG,BETIM/MG,278.638,279 km
GUANHÃES/MG:IGARAPÉ/MG,GUANHÃES/MG,IGARAPÉ/MG,290.403,290 km
DIVINÉSIA/MG:SÃO PAULO/SP,DIVINÉSIA/MG,SÃO PAULO/SP,591.269,591 km
DIVINÓPOLIS/MG:CAÇAPAVA/SP,DIVINÓPOLIS/MG,CAÇAPAVA/SP,457.516,458 km
COTIA/SP:BELO HORIZONTE/MG,COTIA/SP,BELO HORIZONTE/MG,624.491,624 km
PEDRO LEOPOLDO/MG:SÃO PAULO/SP,PEDRO LEOPOLDO/MG,SÃO PAULO/SP,622.136,622 km
SÃO FRANCISCO DE SALES/MG:RIO DE JANEIRO/RJ,SÃO FRANCISCO DE SALES/MG,RIO DE JANEIRO/RJ,999.272,999 km
POÇOS DE CALDAS/MG:UBERLÂNDIA/MG,POÇOS DE CALDAS/MG,UBERLÂNDIA/MG,465.984,466 km
ILHA SOLTEIRA/SP:SÃO PAULO/SP,ILHA SOLTEIRA/SP,SÃO PAULO/SP,685.383,685 km
SOROCABA/SP:CAMPO GRANDE/MS,SOROCABA/SP,CAMPO GRANDE/MS,898.371,898 km
ITABIRA/MG:SÃO PAULO/SP,ITABIRA/MG,SÃO PAULO/SP,686.883,687 km
BOTELHOS/MG:RIO DE JANEIRO/RJ,BOTELHOS/MG,RIO DE JANEIRO/RJ,497.679,498 km
VIRGINÓPOLIS/MG:BELO HORIZONTE/MG,VIRGINÓPOLIS/MG,BELO HORIZONTE/MG,280.446,280 km
POÇOS DE CALDAS/MG:JUNDIAÍ/SP,POÇOS DE CALDAS/MG,JUNDIAÍ/SP,204.257,204 km
ALTEROSA/MG:IGARAPÉ/MG,ALTEROSA/MG,IGARAPÉ/MG,341.356,341 km
PEDRALVA/MG:RIO DE JANEIRO/RJ,PEDRALVA/MG,RIO DE JANEIRO/RJ,348.84,349 km
ARAGUARI/MG:BETIM/MG,ARAGUARI/MG,BETIM/MG,538.164,538 km
CONSELHEIRO LAFAIETE/MG:BETIM/MG,CONSELHEIRO LAFAIETE/MG,BETIM/MG,119.683,120 km
URUCUIA/MG:RIO DE JANEIRO/RJ,URUCUIA/MG,RIO DE JANEIRO/RJ,1058.691,1.059 km
ITAJUBÁ/MG:GUARULHOS/SP,ITAJUBÁ/MG,GUARULHOS/SP,247.533,248 km
MIRASSOL/SP:SÃO PAULO/SP,MIRASSOL/SP,SÃO PAULO/SP,452.274,452 km
IGARAPÉ/MG:MATOZINHOS/MG,IGARAPÉ/MG,MATOZINHOS/MG,93.034,"93,0 km"
BORDA DA MATA/MG:GUARULHOS/SP,BORDA DA MATA/MG,GUARULHOS/SP,220.016,220 km
SÃO JOÃO DO MANHUAÇU/MG:GUARULHOS/SP,SÃO JOÃO DO MANHUAÇU/MG,GUARULHOS/SP,696.099,696 km
DESTERRO DO MELO/MG:RIO DE JANEIRO/RJ,DESTERRO DO MELO/MG,RIO DE JANEIRO/RJ,305.953,306 km
IBIRITÉ/MG:GUARULHOS/SP,IBIRITÉ/MG,GUARULHOS/SP,559.003,559 km
IGARAPÉ/MG:MONTE ALEGRE DE MINAS/MG,IGARAPÉ/MG,MONTE ALEGRE DE MINAS/MG,588.184,588 km
CAPIVARI DE BAIXO/SC:SÃO PAULO/SP,CAPIVARI DE BAIXO/SC,SÃO PAULO/SP,817.409,817 km
BRASÍLIA/DF:RIO DE JANEIRO/RJ,BRASÍLIA/DF,RIO DE JANEIRO/RJ,1167.091,1.167 km
NOVA PONTE/MG:IGARAPÉ/MG,NOVA PONTE/MG,IGARAPÉ/MG,457.579,458 km
LAGOA SANTA/MG:SUZANO/SP,LAGOA SANTA/MG,SUZANO/SP,643.93,644 km
ALTEROSA/MG:RIO DE JANEIRO/RJ,ALTEROSA/MG,RIO DE JANEIRO/RJ,501.182,501 km
IGARAPÉ/MG:MONTES CLAROS/MG,IGARAPÉ/MG,MONTES CLAROS/MG,448.751,449 km
FERROS/MG:BETIM/MG,FERROS/MG,BETIM/MG,207.51,208 km
RIO DE JANEIRO/RJ:RAUL SOARES/MG,RIO DE JANEIRO/RJ,RAUL SOARES/MG,484.038,484 km
SÃO LOURENÇO/MG:RIO DE JANEIRO/RJ,SÃO LOURENÇO/MG,RIO DE JANEIRO/RJ,271.744,272 km
BRASÍLIA/DF:BELO HORIZONTE/MG,BRASÍLIA/DF,BELO HORIZONTE/MG,739.688,740 km
IPATINGA/MG:GUARULHOS/SP,IPATINGA/MG,GUARULHOS/SP,776.559,777 km
NOVA LIMA/MG:SÃO PAULO/SP,NOVA LIMA/MG,SÃO PAULO/SP,602.775,603 km
GOVERNADOR VALADARES/MG:CACHOEIRINHA/RS,GOVERNADOR VALADARES/MG,CACHOEIRINHA/RS,2014.293,2.014 km
PLANURA/MG:SÃO PAULO/SP,PLANURA/MG,SÃO PAULO/SP,473.211,473 km
SABARÁ/MG:RIO DE JANEIRO/RJ,SABARÁ/MG,RIO DE JANEIRO/RJ,468.508,469 km
GUARULHOS/SP:PARÁ DE MINAS/MG,GUARULHOS/SP,PARÁ DE MINAS/MG,558.685,559 km
VITÓRIA DA CONQUISTA/BA:SALVADOR/BA,VITÓRIA DA CONQUISTA/BA,SALVADOR/BA,,
CONSELHEIRO LAFAIETE/MG:IGARAPÉ/MG,CONSELHEIRO LAFAIETE/MG,IGARAPÉ/MG,134.854,135 km
PARÁ DE MINAS/MG:SÃO PAULO/SP,PARÁ DE MINAS/MG,SÃO PAULO/SP,581.453,581 km
SETE LAGOAS/MG:GUARULHOS/SP,SETE LAGOAS/MG,GUARULHOS/SP,619.312,619 km
JUNDIAÍ/SP:JUNDIAÍ/SP,JUNDIAÍ/SP,JUNDIAÍ/SP,0.0,1 m
JABOTICABAL/SP:SÃO PAULO/SP,JABOTICABAL/SP,SÃO PAULO/SP,343.44,343 km
APIAÍ/SP:SÃO PAULO/SP,APIAÍ/SP,SÃO PAULO/SP,326.527,327 km
BETIM/MG:MONTES CLAROS/MG,BETIM/MG,MONTES CLAROS/MG,434.209,434 km
IJACI/MG:RIO DE JANEIRO/RJ,IJACI/MG,RIO DE JANEIRO/RJ,432.805,433 km
SANTA BÁRBARA/MG:IGARAPÉ/MG,SANTA BÁRBARA/MG,IGARAPÉ/MG,153.201,153 km
ORINDIÚVA/SP:SÃO PAULO/SP,ORINDIÚVA/SP,SÃO PAULO/SP,516.137,516 km
PEDRO LEOPOLDO/MG:GUARULHOS/SP,PEDRO LEOPOLDO/MG,GUARULHOS/SP,607.414,607 km
BRAÇO DO NORTE/SC:SÃO PAULO/SP,BRAÇO DO NORTE/SC,SÃO PAULO/SP,854.944,855 km
MARAVILHAS/MG:RIO DE JANEIRO/RJ,MARAVILHAS/MG,RIO DE JANEIRO/RJ,562.475,562 km
SÃO SEBASTIÃO DO PARAÍSO/MG:RIO DE JANEIRO/RJ,SÃO SEBASTIÃO DO PARAÍSO/MG,RIO DE JANEIRO/RJ,726.084,726 km
NOVO HAMBURGO/RS:SÃO PAULO/SP,NOVO HAMBURGO/RS,SÃO PAULO/SP,1157.473,1.157 km
JUIZ DE FORA/MG:GUARULHOS/SP,JUIZ DE FORA/MG,GUARULHOS/SP,481.7,482 km
PIRACAIA/SP:SÃO PAULO/SP,PIRACAIA/SP,SÃO PAULO/SP,91.444,"91,4 km"
ALPINÓPOLIS/MG:SÃO PAULO/SP,ALPINÓPOLIS/MG,SÃO PAULO/SP,374.723,375 km
SÃO JOSÉ DOS CAMPOS/SP:SALVADOR/BA,SÃO JOSÉ DOS CAMPOS/SP,SALVADOR/BA,,
CORONEL FABRICIANO/MG:GUARULHOS/SP,CORONEL FABRICIANO/MG,GUARULHOS/SP,762.143,762 km
JAÍBA/MG:RIO DE JANEIRO/RJ,JAÍBA/MG,RIO DE JANEIRO/RJ,1055.868,1.056 km
OLIVEIRA/MG:BETIM/MG,OLIVEIRA/MG,BETIM/MG,129.689,130 km
ARCOS/MG:CAÇAPAVA/SP,ARCOS/MG,CAÇAPAVA/SP,436.548,437 km
PORTO FELIZ/SP:SÃO PAULO/SP,PORTO FELIZ/SP,SÃO PAULO/SP,119.62,120 km
LAGOA DA PRATA/MG:SÃO PAULO/SP,LAGOA DA PRATA/MG,SÃO PAULO/SP,525.432,525 km
BONFIM/MG:RIO DE JANEIRO/RJ,BONFIM/MG,RIO DE JANEIRO/RJ,436.405,436 km
PALHOÇA/SC:SÃO PAULO/SP,PALHOÇA/SC,SÃO PAULO/SP,705.57,706 km
GUARATINGUETÁ/SP:SÃO PAULO/SP,GUARATINGUETÁ/SP,SÃO PAULO/SP,176.899,177 km
SÃO PAULO/SP:CLÁUDIO/MG,SÃO PAULO/SP,CLÁUDIO/MG,487.35,487 km
BETIM/MG:DIVINÓPOLIS/MG,BETIM/MG,DIVINÓPOLIS/MG,86.295,"86,3 km"
GUAÍRA/SP:SÃO PAULO/SP,GUAÍRA/SP,SÃO PAULO/SP,433.058,433 km
ITABIRA/MG:IGARAPÉ/MG,ITABIRA/MG,IGARAPÉ/MG,149.19,149 km
ÓLEO/SP:SÃO PAULO/SP,ÓLEO/SP,SÃO PAULO/SP,325.135,325 km
CARMO DO RIO CLARO/MG:GUARULHOS/SP,CARMO DO RIO CLARO/MG,GUARULHOS/SP,377.015,377 km
NOVA LIMA/MG:IGARAPÉ/MG,NOVA LIMA/MG,IGARAPÉ/MG,65.082,"65,1 km"
JUIZ DE FORA/MG:BETIM/MG,JUIZ DE FORA/MG,BETIM/MG,281.735,282 km
RIO MANSO/MG:RIO DE JANEIRO/RJ,RIO MANSO/MG,RIO DE JANEIRO/RJ,447.881,448 km
ITURAMA/MG:BELO HORIZONTE/MG,ITURAMA/MG,BELO HORIZONTE/MG,743.842,744 km
SANTANA DO PARAÍSO/MG:BETIM/MG,SANTANA DO PARAÍSO/MG,BETIM/MG,252.158,252 km
PEDRO LEOPOLDO/MG:BELO HORIZONTE/MG,PEDRO LEOPOLDO/MG,BELO HORIZONTE/MG,40.868,"40,9 km"
RECIFE/PE:SÃO PAULO/SP,RECIFE/PE,SÃO PAULO/SP,2661.611,2.662 km
SERRANIA/MG:GUARULHOS/SP,SERRANIA/MG,GUARULHOS/SP,294.383,294 km
CRUZÍLIA/MG:BETIM/MG,CRUZÍLIA/MG,BETIM/MG,370.951,371 km
CATAGUASES/MG:LEOPOLDINA/MG,CATAGUASES/MG,LEOPOLDINA/MG,23.57,"23,6 km"
RIACHINHO/MG:GUARULHOS/SP,RIACHINHO/MG,GUARULHOS/SP,1060.081,1.060 km
OURO PRETO/MG:BETIM/MG,OURO PRETO/MG,BETIM/MG,121.815,122 km
PLANURA/MG:BETIM/MG,PLANURA/MG,BETIM/MG,553.546,554 km
CAIABU/SP:SÃO PAULO/SP,CAIABU/SP,SÃO PAULO/SP,572.806,573 km
CAMPO GRANDE/MS:SÃO PAULO/SP,CAMPO GRANDE/MS,SÃO PAULO/SP,984.193,984 km
PORTO BELO/SC:SÃO PAULO/SP,PORTO BELO/SC,SÃO PAULO/SP,648.342,648 km
CACHOEIRA DE MINAS/MG:BELO HORIZONTE/MG,CACHOEIRA DE MINAS/MG,BELO HORIZONTE/MG,408.528,409 km
PARAISÓPOLIS/MG:RIO DE JANEIRO/RJ,PARAISÓPOLIS/MG,RIO DE JANEIRO/RJ,365.588,366 km
SÃO JOSÉ DOS PINHAIS/PR:FORTALEZA/CE,SÃO JOSÉ DOS PINHAIS/PR,FORTALEZA/CE,3389.447,3.389 km
SÃO PAULO/SP:SÃO CARLOS/SP,SÃO PAULO/SP,SÃO CARLOS/SP,235.189,235 km
TUPACIGUARA/MG:IGARAPÉ/MG,TUPACIGUARA/MG,IGARAPÉ/MG,587.782,588 km
IGARAPÉ/MG:CHAPADA GAÚCHA/MG,IGARAPÉ/MG,CHAPADA GAÚCHA/MG,761.468,761 km
IGARAPÉ/MG:BOCAIÚVA/MG,IGARAPÉ/MG,BOCAIÚVA/MG,400.781,401 km
BETIM/MG:CAPINÓPOLIS/MG,BETIM/MG,CAPINÓPOLIS/MG,667.117,667 km
OLIVEIRA/MG:IGARAPÉ/MG,OLIVEIRA/MG,IGARAPÉ/MG,113.044,113 km
RIO DE JANEIRO/RJ:DORES DO INDAIÁ/MG,RIO DE JANEIRO/RJ,DORES DO INDAIÁ/MG,659.123,659 km
PASSA QUATRO/MG:GUARULHOS/SP,PASSA QUATRO/MG,GUARULHOS/SP,228.469,228 km
PONTAL DO PARANÁ/PR:SÃO PAULO/SP,PONTAL DO PARANÁ/PR,SÃO PAULO/SP,459.56,460 km
VALINHOS/SP:SÃO PAULO/SP,VALINHOS/SP,SÃO PAULO/SP,87.503,"87,5 km"
VÁRZEA DA PALMA/MG:RIO DE JANEIRO/RJ,VÁRZEA DA PALMA/MG,RIO DE JANEIRO/RJ,735.468,735 km
TANGARÁ DA SERRA/MT:SÃO PAULO/SP,TANGARÁ DA SERRA/MT,SÃO PAULO/SP,1773.667,1.774 km
CAPITÓLIO/MG:SÃO PAULO/SP,CAPITÓLIO/MG,SÃO PAULO/SP,439.646,440 km
CAMPO BELO/MG:BETIM/MG,CAMPO BELO/MG,BETIM/MG,188.05,188 km
ELDORADO/SP:SÃO PAULO/SP,ELDORADO/SP,SÃO PAULO/SP,256.932,257 km
SÃO LUDGERO/SC:SÃO PAULO/SP,SÃO LUDGERO/SC,SÃO PAULO/SP,857.242,857 km
BETIM/MG:LAJEADO/RS,BETIM/MG,LAJEADO/RS,1789.992,1.790 km
BATATAIS/SP:SÃO PAULO/SP,BATATAIS/SP,SÃO PAULO/SP,353.934,354 km
IGARAPÉ/MG:PIRAPORA/MG,IGARAPÉ/MG,PIRAPORA/MG,373.206,373 km
RIO DE JANEIRO/RJ:JOÃO MONLEVADE/MG,RIO DE JANEIRO/RJ,JOÃO MONLEVADE/MG,559.069,559 km
PARÁ DE MINAS/MG:BELO HORIZONTE/MG,PARÁ DE MINAS/MG,BELO HORIZONTE/MG,83.484,"83,5 km"
TEÓFILO OTONI/MG:RIO DE JANEIRO/RJ,TEÓFILO OTONI/MG,RIO DE JANEIRO/RJ,728.053,728 km
RAUL SOARES/MG:RIO DE JANEIRO/RJ,RAUL SOARES/MG,RIO DE JANEIRO/RJ,485.522,486 km
GUARANI/MG:RIO DE JANEIRO/RJ,GUARANI/MG,RIO DE JANEIRO/RJ,270.063,270 km
PITANGUEIRAS/SP:SÃO PAULO/SP,PITANGUEIRAS/SP,SÃO PAULO/SP,365.983,366 km
RIO DE JANEIRO/RJ:JACUTINGA/MG,RIO DE JANEIRO/RJ,JACUTINGA/MG,465.458,465 km
SÃO JOÃO DEL REI/MG:CAÇAPAVA/SP,SÃO JOÃO DEL REI/MG,CAÇAPAVA/SP,358.448,358 km
VESPASIANO/MG:VESPASIANO/MG,VESPASIANO/MG,VESPASIANO/MG,0.0,1 m
SANTANA DE PIRAPAMA/MG:BETIM/MG,SANTANA DE PIRAPAMA/MG,BETIM/MG,158.872,159 km
CATAGUASES/MG:IGARAPÉ/MG,CATAGUASES/MG,IGARAPÉ/MG,346.403,346 km
MONTE CARMELO/MG:SUZANO/SP,MONTE CARMELO/MG,SUZANO/SP,673.836,674 km
EWBANK DA CÂMARA/MG:RIO DE JANEIRO/RJ,EWBANK DA CÂMARA/MG,RIO DE JANEIRO/RJ,216.108,216 km
CAMPINA VERDE/MG:RIO DE JANEIRO/RJ,CAMPINA VERDE/MG,RIO DE JANEIRO/RJ,1008.175,1.008 km
BROTAS/SP:SÃO PAULO/SP,BROTAS/SP,SÃO PAULO/SP,246.408,246 km
SUZANO/SP:VARGINHA/MG,SUZANO/SP,VARGINHA/MG,343.314,343 km
PIEDADE DE PONTE NOVA/MG:BETIM/MG,PIEDADE DE PONTE NOVA/MG,BETIM/MG,241.57,242 km
PASSOS/MG:SÃO PAULO/SP,PASSOS/MG,SÃO PAULO/SP,385.147,385 km
BIRIGUI/SP:SÃO PAULO/SP,BIRIGUI/SP,SÃO PAULO/SP,509.822,510 km
AURIFLAMA/SP:SÃO PAULO/SP,AURIFLAMA/SP,SÃO PAULO/SP,569.449,569 km
ITABIRITO/MG:UBERLÂNDIA/MG,ITABIRITO/MG,UBERLÂNDIA/MG,585.095,585 km
PINDAMONHANGABA/SP:SÃO PAULO/SP,PINDAMONHANGABA/SP,SÃO PAULO/SP,146.64,147 km
IGUATAMA/MG:BETIM/MG,IGUATAMA/MG,BETIM/MG,204.27,204 km
SÃO JOSÉ DA LAPA/MG:RIO DE JANEIRO/RJ,SÃO JOSÉ DA LAPA/MG,RIO DE JANEIRO/RJ,473.781,474 km
SERRA DO SALITRE/MG:RIO DE JANEIRO/RJ,SERRA DO SALITRE/MG,RIO DE JANEIRO/RJ,807.559,808 km
FRUTAL/MG:GUARULHOS/SP,FRUTAL/MG,GUARULHOS/SP,515.002,515 km
CARNEIRINHO/MG:IGARAPÉ/MG,CARNEIRINHO/MG,IGARAPÉ/MG,779.863,780 km
PIRANGUINHO/MG:GUARULHOS/SP,PIRANGUINHO/MG,GUARULHOS/SP,236.457,236 km
SANTA ROSA DE VITERBO/SP:SÃO PAULO/SP,SANTA ROSA DE VITERBO/SP,SÃO PAULO/SP,289.008,289 km
PERDIGÃO/MG:RIO DE JANEIRO/RJ,PERDIGÃO/MG,RIO DE JANEIRO/RJ,538.345,538 km
RAFARD/SP:SÃO PAULO/SP,RAFARD/SP,SÃO PAULO/SP,143.862,144 km
RIO DE JANEIRO/RJ:MACAÉ/RJ,RIO DE JANEIRO/RJ,MACAÉ/RJ,190.146,190 km
SILVEIRÂNIA/MG:RIO DE JANEIRO/RJ,SILVEIRÂNIA/MG,RIO DE JANEIRO/RJ,289.254,289 km
CONGONHAS/MG:GUARULHOS/SP,CONGONHAS/MG,GUARULHOS/SP,574.537,575 km
CÂNDIDO MOTA/SP:SÃO PAULO/SP,CÂNDIDO MOTA/SP,SÃO PAULO/SP,431.538,432 km
SANTA BÁRBARA D'OESTE/SP:SÃO PAULO/SP,SANTA BÁRBARA D'OESTE/SP,SÃO PAULO/SP,138.458,138 km
CRUZEIRO DO OESTE/PR:SÃO PAULO/SP,CRUZEIRO DO OESTE/PR,SÃO PAULO/SP,766.058,766 km
BOCAIÚVA/MG:IGARAPÉ/MG,BOCAIÚVA/MG,IGARAPÉ/MG,396.601,397 km
